"ConceptScheme","labelStyle","Concept","prefLabel","sortorder"
"ISCO-88_Ganzeboom","en","1000","legislators, senior officials & managers",1
"ISCO-88_Ganzeboom","en","1100","legislators & senior officials",2
"ISCO-88_Ganzeboom","en","1110","legislators",3
"ISCO-88_Ganzeboom","en","1120","senior government officials",4
"ISCO-88_Ganzeboom","en","1130","traditional chiefs & heads of villages",5
"ISCO-88_Ganzeboom","en","1140","senior officials special-interest organisations",6
"ISCO-88_Ganzeboom","en","1141","senior officials political-party organisations",7
"ISCO-88_Ganzeboom","en","1142","senior officials economic-interest organisations",8
"ISCO-88_Ganzeboom","en","1143","senior officials special-interest organisations",9
"ISCO-88_Ganzeboom","en","1200","corporate managers [large enterprise]",10
"ISCO-88_Ganzeboom","en","1210","directors & chief executives [large enterprise]",11
"ISCO-88_Ganzeboom","en","1220","department managers [large enterprise][production-operation]",12
"ISCO-88_Ganzeboom","en","1221","department managers agriculture, hunting, forestry & fishlng",13
"ISCO-88_Ganzeboom","en","1222","department managers manufacturing",14
"ISCO-88_Ganzeboom","en","1223","department managers construction",15
"ISCO-88_Ganzeboom","en","1224","department managers wholesale & retail trade",16
"ISCO-88_Ganzeboom","en","1225","department managers restaurants & hotels",17
"ISCO-88_Ganzeboom","en","1226","department managers transport, storage & communications",18
"ISCO-88_Ganzeboom","en","1227","department managers business services",19
"ISCO-88_Ganzeboom","en","1228","department managers personal care, cleaning etc",20
"ISCO-88_Ganzeboom","en","1229","operations department managers nec",21
"ISCO-88_Ganzeboom","en","1230","other department managers [large enterprise]",22
"ISCO-88_Ganzeboom","en","1231","finance & administration department managers",23
"ISCO-88_Ganzeboom","en","1232","personnel & industrial relations department managers",24
"ISCO-88_Ganzeboom","en","1233","sales & marketing department managers",25
"ISCO-88_Ganzeboom","en","1234","advertising & public relations department managers",26
"ISCO-88_Ganzeboom","en","1235","supply & distribution department managers",27
"ISCO-88_Ganzeboom","en","1236","computing services department managers",28
"ISCO-88_Ganzeboom","en","1237","research & development department managers",29
"ISCO-88_Ganzeboom","en","1239","other department managers nec",30
"ISCO-88_Ganzeboom","en","1240","[office manager]",31
"ISCO-88_Ganzeboom","en","1250","[military officers]",32
"ISCO-88_Ganzeboom","en","1251","[high military officers]",33
"ISCO-88_Ganzeboom","en","1252","[lower military officers]",34
"ISCO-88_Ganzeboom","en","1300","general managers [small enterprise]",35
"ISCO-88_Ganzeboom","en","1310","general managers [small enterprise]",36
"ISCO-88_Ganzeboom","en","1311","general managers agriculture, hunting forestry & fishing",37
"ISCO-88_Ganzeboom","en","1312","general managers manufacturing",38
"ISCO-88_Ganzeboom","en","1313","general managers construction",39
"ISCO-88_Ganzeboom","en","1314","general managers wholesale & retail trade",40
"ISCO-88_Ganzeboom","en","1315","general managers restaurants & hotels",41
"ISCO-88_Ganzeboom","en","1316","general managers transport, storage & communications",42
"ISCO-88_Ganzeboom","en","1317","general managers business services",43
"ISCO-88_Ganzeboom","en","1318","general managers personal care, cleaning etc services",44
"ISCO-88_Ganzeboom","en","1319","general managers nec",45
"ISCO-88_Ganzeboom","en","2000","professionals",46
"ISCO-88_Ganzeboom","en","2100","physical, mathematical & engineering science professionals",47
"ISCO-88_Ganzeboom","en","2110","physicists, chemists & related professionals",48
"ISCO-88_Ganzeboom","en","2111","physicists & astronomers",49
"ISCO-88_Ganzeboom","en","2112","meteorologists",50
"ISCO-88_Ganzeboom","en","2113","chemists",51
"ISCO-88_Ganzeboom","en","2114","geologists & geophysicists",52
"ISCO-88_Ganzeboom","en","2120","mathematicians, statisticians etc professionals",53
"ISCO-88_Ganzeboom","en","2121","mathematicians etc professionals",54
"ISCO-88_Ganzeboom","en","2122","statisticians",55
"ISCO-88_Ganzeboom","en","2130","computing professionals",56
"ISCO-88_Ganzeboom","en","2131","computer systems designers & analysts",57
"ISCO-88_Ganzeboom","en","2132","computer programmers",58
"ISCO-88_Ganzeboom","en","2139","computing professionals nec",59
"ISCO-88_Ganzeboom","en","2140","architects, engineers etc professionals",60
"ISCO-88_Ganzeboom","en","2141","architects town & traffic planners",61
"ISCO-88_Ganzeboom","en","2142","civil engineers",62
"ISCO-88_Ganzeboom","en","2143","electrical engineers",63
"ISCO-88_Ganzeboom","en","2144","electronics & telecommunications engineers",64
"ISCO-88_Ganzeboom","en","2145","mechanical engineers",65
"ISCO-88_Ganzeboom","en","2146","chemical engineers",66
"ISCO-88_Ganzeboom","en","2147","mining engineers metallurgists etc professionals",67
"ISCO-88_Ganzeboom","en","2148","cartographers & surveyors",68
"ISCO-88_Ganzeboom","en","2149","architects engineers etc professionals nec",69
"ISCO-88_Ganzeboom","en","2200","life science & health professionals",70
"ISCO-88_Ganzeboom","en","2210","life science professionals",71
"ISCO-88_Ganzeboom","en","2211","biologists, botanists zoologists etc professionals",72
"ISCO-88_Ganzeboom","en","2212","pharmacologists, pathologists etc professlonals",73
"ISCO-88_Ganzeboom","en","2213","agronomists etc professionals",74
"ISCO-88_Ganzeboom","en","2220","health professionals (except nursing)",75
"ISCO-88_Ganzeboom","en","2221","medical doctors",76
"ISCO-88_Ganzeboom","en","2222","dentists",77
"ISCO-88_Ganzeboom","en","2223","veterinarians",78
"ISCO-88_Ganzeboom","en","2224","pharmacists",79
"ISCO-88_Ganzeboom","en","2229","health professionals except nursing nec",80
"ISCO-88_Ganzeboom","en","2230","nursing & midwifery professionals",81
"ISCO-88_Ganzeboom","en","2300","teaching professionals",82
"ISCO-88_Ganzeboom","en","2310","higher education teaching professionals",83
"ISCO-88_Ganzeboom","en","2320","secondary education teaching professionals",84
"ISCO-88_Ganzeboom","en","2321","[second academ teacher]",85
"ISCO-88_Ganzeboom","en","2322","[second voc teacher]",86
"ISCO-88_Ganzeboom","en","2323","[middle school teacher]",87
"ISCO-88_Ganzeboom","en","2330","primary & pre-primary education teaching professionals",88
"ISCO-88_Ganzeboom","en","2331","primary education teaching professionals",89
"ISCO-88_Ganzeboom","en","2332","pre-primary education teaching professionals",90
"ISCO-88_Ganzeboom","en","2340","special education teaching professionals",91
"ISCO-88_Ganzeboom","en","2350","other teaching professionals",92
"ISCO-88_Ganzeboom","en","2351","education methods specialists",93
"ISCO-88_Ganzeboom","en","2352","school inspectors",94
"ISCO-88_Ganzeboom","en","2359","other teaching professionals nec",95
"ISCO-88_Ganzeboom","en","2400","other professionals",96
"ISCO-88_Ganzeboom","en","2410","business professionals",97
"ISCO-88_Ganzeboom","en","2411","accountants",98
"ISCO-88_Ganzeboom","en","2412","personnel & careers professionals",99
"ISCO-88_Ganzeboom","en","2419","business professionals nec",100
"ISCO-88_Ganzeboom","en","2420","legal professionals",101
"ISCO-88_Ganzeboom","en","2421","lawyers",102
"ISCO-88_Ganzeboom","en","2422","judges",103
"ISCO-88_Ganzeboom","en","2429","legal professionals nec",104
"ISCO-88_Ganzeboom","en","2430","archivists, librarians etc information professionals",105
"ISCO-88_Ganzeboom","en","2431","archivists & curators",106
"ISCO-88_Ganzeboom","en","2432","librarians etc information professionals",107
"ISCO-88_Ganzeboom","en","2440","social science etc professionals",108
"ISCO-88_Ganzeboom","en","2441","economists",109
"ISCO-88_Ganzeboom","en","2442","sociologists anthropologists etc professionals",110
"ISCO-88_Ganzeboom","en","2443","philosophers, historians & political scientists",111
"ISCO-88_Ganzeboom","en","2444","philologists translators & interpreters",112
"ISCO-88_Ganzeboom","en","2445","psychologists",113
